,City, City Code, NUTS 2, Country,Year,Unemployment_Rate
222,Riga,LV001C1,LV00,LV,2014,39.1
223,Rome,IT001C1,ITI4,IT,2014,36.2
224,Rotterdam,NL003C1,NL33,NL,2014,30.6
225,The Hague (Den Haag),NL001C1,NL33,NL,2014,30.6
226,Seville (Sevilla),ES004C1,ES61,ES,2014,37.3
227,Sofia,BG001C1,BG41,BG,2014,40.2
228,Stockholm,SE001C1,SE11,SE,2014,36.4
229,Stuttgart,DE007C1,DE11,DE,2014,34.9
230,Tallinn,EE001C1,EE00,EE,2014,38.9
231,Thessaloniki,EL002C1,EL52,EL,2014,42.2
232,Timisoara,RO003C1,RO42,RO,2014,40.3
233,Trieste,IT015C1,ITH4,IT,2014,37.1
234,Trondheim,NO003C1,NO06,NO,2014,33.9
235,Turin,IT004C1,ITC1,IT,2014,37.5
236,Varna,BG003C1,BG33,BG,2014,41.2
237,Vienna,AT001C1,AT13,AT,2014,36.5
238,Vilnius,LT001C1,LT01,LT,2014,38.6
239,Warsaw,PL001C1,PL91,PL,2014,40.2
240,Wroclaw,PL004C1,PL51,PL,2014,40.8
241,Zagreb,HR001C1,HR04,HR,2014,39.7
242,Zurich,CH001C1,CH04,CH,2014,34.5
243,Amsterdam,NL002C1,NL32,NL,2015,30.3
244,Ankara,TR001C1,TR51,TR,2015,46.8
245,Antwerp,BE002C1,BE2,BE,2015,37.4
246,Athens,EL001C1,EL30,EL,2015,40.3
247,Barcelona,ES002C1,ES51,ES,2015,37.7
248,Valencia,ES003C1,ES51,ES,2015,37.7
249,Belfast,UK012C1,UKN0,UK,2015,36.6
250,Belgrade, -,RS11,RS,2015,42.7
251,Bergen,NO002C1,NO05,NO,2015,33.8
252,Berlin,DE001C1,DE30,DE,2015,35.5
253,Birmingham,UK002C1,UKG3,UK,2015,36.5
254,Bologna,IT009C1,ITH5,IT,2015,37.6
255,Brasov,RO504C1,RO12,RO,2015,40.4
256,Bratislava,SK001C1,SK01,SK,2015,41.8
257,Bristol,UK011C1,UKK1,UK,2015,36.2
258,Brno,CZ002C1,CZ06,CZ,2015,40.6
259,Brussels,BE001C1,BE1,BE,2015,37.4
260,Bucharest,RO001C1,RO32,RO,2015,40.3
261,Budapest,HU001C1,HU11,HU,2015,40.4
262,Bursa,TR005C1,TR41,TR,2015,48.5
263,Cambridge,UK017C1,UKH1,UK,2015,36.7
264,Cluj-Napoca,RO002C1,RO11,RO,2015,39.9
265,Cologne,DE004C1,DEA2,DE,2015,35.3
266,Constanta,RO501C1,RO22,RO,2015,40.2
267,Copenhagen,DK001C1,DK01,DK,2015,33.3
268,Cork,IE002C1,IE05,IE,2015,35.8
269,Dublin,IE001C1,IE06,IE,2015,36.0
270,Dusseldorf,DE011C1,DEA1,DE,2015,35.1
271,Edinburgh,UK007C1,UKM7,UK,2015,36.5
272,Eindhoven,NL005C1,NL41,NL,2015,30.2
273,Frankfurt,DE005C1,DE71,DE,2015,35.4
274,Gdansk,PL006C1,PL63,PL,2015,41.3
275,Geneva,CH002C1,CH01,CH,2015,35.3
276,Gent,BE003C1,BE23,BE,2015,37.5
277,Glasgow,UK004C1,UKM3,UK,2015,36.5
278,Gothenburg,SE002C1,SE23,SE,2015,36.3
279,Hamburg,DE002C1,DE60,DE,2015,36.0
280,Iasi,RO502C1,RO21,RO,2015,39.9
281,Istanbul,TR012C1,TR10,TR,2015,49.2
282,Izmir,TR013C1,TR31,TR,2015,46.6
283,Kaunas,LT002C1,LT02,LT,2015,38.2
284,Krakow (Cracow),PL003C1,PL2,PL,2015,40.3
285,Leeds,UK003C1,UKE4,UK,2015,36.2
