City, City Code, NUTS 2, Country,Year,Education Attainment ED 0-2,Education Attainment ED 3-4,Education Attainment ED 5-8,Deaths_in_road_accidents,Average Working Hours,Unemployment_Rate,E_Life_expextancy_at_birth,E_Med_Doctors_per_100000,Gender_Employment_Gap
Stockholm,SE001C1,SE11,SE,2017,13.1,36.0,51.0,19.0,36.6,6.3,83.1,478.9,4.1
Stuttgart,DE007C1,DE11,DE,2017,13.9,53.4,32.6,31.0,34.8,3.0,82.3,405.54,9.8
Tallinn,EE001C1,EE00,EE,2017,11.2,49.1,39.7,36.0,38.5,5.8,78.4,346.82,7.3
Thessaloniki,EL002C1,EL52,EL,2017,27.7,41.2,31.1,56.0,42.3,22.9,81.8,522.26,20.9
Timisoara,RO003C1,RO42,RO,2017,18.1,66.0,16.0,119.0,39.9,4.4,75.2,385.74,17.2
Trieste,IT015C1,ITH4,IT,2017,32.4,47.7,19.9,57.0,37.1,6.7,83.5,402.97,16.0
Trondheim,NO003C1,NO06,NO,2017,15.3,41.9,42.8,26.0,33.4,2.9,82.6,469.92,5.7
Turin,IT004C1,ITC1,IT,2017,38.7,43.2,18.1,64.0,37.8,9.1,83.0,363.05,14.0
Varna,BG003C1,BG33,BG,2017,22.6,50.6,26.9,104.0,41.0,9.4,74.2,401.82,12.0
Vienna,AT001C1,AT13,AT,2017,16.2,41.7,42.1,11.0,36.2,10.4,80.8,684.97,6.3
Vilnius,LT001C1,LT01,LT,2017,2.2,44.5,53.3,53.0,38.9,4.8,75.8,455.63,-1.1
Warsaw,PL001C1,PL91,PL,2017,3.1,40.2,56.7,61.0,40.2,3.5,77.1,237.75,9.9
Wroclaw,PL004C1,PL51,PL,2017,7.3,62.9,29.8,76.0,40.3,4.7,77.4,222.14,15.0
Zagreb,HR001C1,HR04,HR,2017,18.6,57.7,23.6,71.0,39.8,11.4,78.9,313.63,10.7
Zurich,CH001C1,CH04,CH,2017,9.5,38.8,51.6,15.0,34.7,4.5,83.8,522.54,9.5
Amsterdam,NL002C1,NL32,NL,2018,18.1,36.6,45.4,32.0,30.9,3.8,82.1,482.64,7.4
Ankara,TR001C1,TR51,TR,2018,47.9,22.7,29.4,72.0,44.7,10.1,79.6,305.2,43.5
Antwerp,BE002C1,BE2,BE,2018,19.0,39.9,41.1,47.0,37.6,3.4,82.5,267.44,9.7
Athens,EL001C1,EL30,EL,2018,17.2,43.5,39.3,48.0,40.6,19.9,81.3,791.98,20.1
Barcelona,ES002C1,ES51,ES,2018,37.6,21.6,40.8,44.0,37.7,11.5,83.7,408.41,9.4
Valencia,ES003C1,ES51,ES,2018,37.6,21.6,40.8,44.0,37.7,11.5,82.9,375.76,13.5
Belfast,UK012C1,UKN0,UK,2018,24.7,38.1,37.2,29.0,36.5,3.6,80.9,284.05,7.7
Belgrade, -,RS11,RS,2018,7.8,54.9,37.4,72.8,42.3,10.9,77.0,298.23,9.35
Bergen,NO002C1,NO05,NO,2018,14.7,42.0,43.3,23.0,33.4,3.8,83.4,479.87,2.0
Berlin,DE001C1,DE30,DE,2018,12.9,44.9,42.1,12.0,35.5,6.1,80.8,542.38,6.5
Birmingham,UK002C1,UKG3,UK,2018,26.2,41.2,32.6,20.0,36.2,6.5,80.8,284.05,13.5
Bologna,IT009C1,ITH5,IT,2018,31.9,46.1,22.0,71.0,37.8,5.9,83.9,419.09,15.2
Brasov,RO504C1,RO12,RO,2018,20.6,61.3,18.1,95.0,40.2,4.2,75.8,312.62,22.1
Bratislava,SK001C1,SK01,SK,2018,3.9,52.3,43.8,32.0,41.1,2.9,78.8,643.6,9.7
Bristol,UK011C1,UKK1,UK,2018,16.3,38.0,45.7,33.0,35.9,2.9,82.3,284.05,8.0
Brno,CZ002C1,CZ06,CZ,2018,4.9,69.3,25.8,61.0,40.3,2.3,78.0,377.85,15.2
Brussels,BE001C1,BE1,BE,2018,26.7,25.8,47.5,17.0,37.2,13.2,81.5,388.06,9.7
Bucharest,RO001C1,RO32,RO,2018,11.0,51.5,37.5,48.0,40.3,3.6,76.9,312.62,13.5
Budapest,HU001C1,HU11,HU,2018,7.1,46.4,46.5,29.0,39.4,3.1,78.4,553.11,13.9
Bursa,TR005C1,TR41,TR,2018,58.6,21.3,20.1,73.0,45.4,8.9,78.4,175.67,39.7
Cambridge,UK017C1,UKH1,UK,2018,21.8,40.1,38.0,30.0,36.3,3.5,82.2,284.05,8.3
Cluj-Napoca,RO002C1,RO11,RO,2018,22.1,60.2,17.7,96.0,39.9,2.9,75.8,399.38,17.5
Cologne,DE004C1,DEA2,DE,2018,16.5,53.0,30.5,30.0,34.9,3.7,80.9,438.63,8.7
Constanta,RO501C1,RO22,RO,2018,26.6,60.3,13.1,111.0,39.9,6.1,74.5,244.03,15.1
Copenhagen,DK001C1,DK01,DK,2018,15.1,34.0,50.8,14.0,33.0,5.4,81.1,489.91,5.3
Cork,IE002C1,IE05,IE,2018,17.9,39.6,42.5,33.0,36.6,6.2,81.8,327.94,13.0
Dublin,IE001C1,IE06,IE,2018,15.1,33.1,51.7,22.0,36.5,5.6,82.6,327.94,12.5
Dusseldorf,DE011C1,DEA1,DE,2018,18.6,55.5,25.9,22.0,35.0,4.3,80.3,438.63,10.2
Edinburgh,UK007C1,UKM7,UK,2018,17.1,30.6,52.3,10.0,35.9,3.6,79.9,284.05,7.7
Eindhoven,NL005C1,NL41,NL,2018,22.2,41.8,36.0,59.0,30.5,3.5,81.9,259.01,10.8
Frankfurt,DE005C1,DE71,DE,2018,15.9,50.2,33.9,35.0,35.1,3.1,81.8,413.51,9.4
Gdansk,PL006C1,PL63,PL,2018,8.2,59.0,32.8,64.0,41.1,3.0,78.2,238.25,17.8
Geneva,CH002C1,CH01,CH,2018,14.9,41.6,43.6,25.0,35.4,7.5,84.2,494.5,9.1
Gent,BE003C1,BE23,BE,2018,18.9,38.4,42.8,47.0,37.5,2.7,82.3,288.7,7.4
Glasgow,UK004C1,UKM3,UK,2018,20.5,32.1,47.4,16.7,36.3,3.8,79.2,284.05,7.7
Gothenburg,SE002C1,SE23,SE,2018,14.4,43.3,42.2,32.0,36.5,5.6,82.6,433.46,4.4
Hamburg,DE002C1,DE60,DE,2018,15.5,47.7,36.9,16.0,36.0,4.1,81.1,629.07,7.3
Iasi,RO502C1,RO21,RO,2018,29.2,58.1,12.7,99.0,39.5,2.4,74.1,244.03,15.1
Istanbul,TR012C1,TR10,TR,2018,56.4,19.3,24.3,29.0,46.9,12.4,79.4,219.64,40.5
Izmir,TR013C1,TR31,TR,2018,55.1,19.5,25.4,75.0,44.2,13.7,79.2,256.9,38.1
Kaunas,LT002C1,LT02,LT,2018,6.3,57.7,36.0,57.0,38.7,6.9,76.3,594.09,3.0
Krakow (Cracow),PL003C1,PL2,PL,2018,5.3,63.6,31.1,56.0,40.1,3.2,79.1,247.19,14.2
Leeds,UK003C1,UKE4,UK,2018,24.6,38.1,37.3,30.0,36.5,4.7,80.1,284.05,11.5
Limassol,CY501C1,CY00,CY,2018,17.8,38.1,44.1,57.0,39.4,8.4,82.9,407.32,10.4
Lisbon,PT001C1,PT17,PT,2018,38.5,28.7,32.8,47.0,39.8,7.5,81.7,643.2,4.8
Ljubljana,SI001C1,SI04,SI,2018,9.6,52.7,37.7,34.0,39.2,4.8,81.5,324.98,6.3
London,UK001K2,UKI,UK,2018,14.1,28.5,57.5,13.0,37.8,4.7,82.9,284.05,12.82
Luxembourg,LU001C1,LU00,LU,2018,21.4,34.5,44.1,60.0,37.6,5.6,82.3,308.53,8.0
Lyon,FR003C2,FRK2,FR,2018,17.0,42.3,40.7,55.0,37.4,7.3,83.8,313.74,7.8
Madrid,ES001C1,ES30,ES,2018,27.7,25.1,47.2,17.0,37.9,12.2,85.5,456.52,9.7
Manchester,UK008C1,UKD3,UK,2018,22.0,39.2,38.8,16.0,36.4,4.2,80.0,284.05,8.7
Milan,IT002C1,ITC4,IT,2018,35.0,43.8,21.2,48.0,37.6,6.0,84.0,368.24,17.6
Munich,DE003L1,DE21,DE,2018,9.7,49.7,40.6,44.0,36.0,2.3,82.7,448.64,8.0
Nicosia,CY001C1,CY0,CY,2018,17.8,38.1,44.1,57.0,39.4,8.4,82.9,407.32,10.4
Oslo,NO001C1,NO01,NO,2018,14.4,31.8,53.8,9.0,34.5,4.2,83.4,560.59,4.9
Paris,FR001C1,FR10,FR,2018,20.3,30.4,49.3,25.0,38.0,8.8,84.5,389.82,7.4
Porto,PT002C1,PT11,PT,2018,55.6,22.7,21.8,54.0,39.8,7.4,82.0,511.33,7.9
Poznan,PL005C1,PL41,PL,2018,7.0,66.5,26.5,75.0,40.7,2.2,77.6,164.57,16.8
Prague,CZ001C1,CZ01,CZ,2018,2.9,50.8,46.4,28.0,40.7,1.3,80.8,738.11,16.0
Reykjavik,IS001C1,IS00,IS,2018,22.0,34.2,43.8,30.0,39.2,2.7,82.9,389.26,6.3
Riga,LV001C1,LV00,LV,2018,9.3,56.7,33.9,77.0,38.9,7.4,75.1,348.34,4.2
Rome,IT001C1,ITI4,IT,2018,30.1,44.4,25.6,57.0,36.6,11.2,83.9,457.67,17.2
Rotterdam,NL003C1,NL33,NL,2018,21.5,39.6,38.9,27.0,30.8,4.3,81.9,363.24,10.7
The Hague (Den Haag),NL001C1,NL33,NL,2018,21.5,39.6,38.9,27.0,30.8,4.3,81.9,363.24,10.7
Seville (Sevilla),ES004C1,ES61,ES,2018,49.0,20.7,30.3,33.0,37.4,23.0,82.1,344.94,16.8
Sofia,BG001C1,BG41,BG,2018,8.0,52.2,39.8,59.0,40.4,2.6,74.4,441.45,5.2
Stockholm,SE001C1,SE11,SE,2018,12.3,35.5,52.3,13.0,36.6,5.6,83.0,479.85,2.5
Stuttgart,DE007C1,DE11,DE,2018,13.8,53.4,32.7,38.0,34.6,2.3,82.3,408.58,10.1
Tallinn,EE001C1,EE00,EE,2018,10.8,48.1,41.2,51.0,38.2,5.4,78.5,348.34,7.8
Thessaloniki,EL002C1,EL52,EL,2018,27.6,40.8,31.7,49.0,41.9,20.7,82.6,521.27,19.0
Timisoara,RO003C1,RO42,RO,2018,17.5,66.8,15.7,114.0,40.0,3.6,75.2,399.38,17.5
Trieste,IT015C1,ITH4,IT,2018,31.4,47.6,21.1,63.0,37.1,6.7,83.5,402.76,14.7
Trondheim,NO003C1,NO06,NO,2018,15.6,40.6,43.8,22.0,33.6,3.1,83.0,491.76,7.1
Turin,IT004C1,ITC1,IT,2018,37.1,43.5,19.3,57.0,37.8,8.2,83.0,365.7,15.2
Varna,BG003C1,BG33,BG,2018,23.5,51.2,25.3,108.0,40.7,7.4,74.4,394.15,14.9
Vienna,AT001C1,AT13,AT,2018,16.6,41.1,42.3,10.0,36.6,10.0,80.6,679.56,8.0
Vilnius,LT001C1,LT01,LT,2018,2.7,42.6,54.7,72.0,38.8,4.6,76.0,459.78,1.2
Warsaw,PL001C1,PL91,PL,2018,3.0,39.6,57.4,50.0,39.8,2.4,76.9,233.92,8.2
Wroclaw,PL004C1,PL51,PL,2018,7.6,60.7,31.7,71.0,40.2,3.3,77.2,210.56,13.2
Zagreb,HR001C1,HR04,HR,2018,17.1,58.1,24.8,70.0,39.9,8.0,79.4,322.12,11.8
Zurich,CH001C1,CH04,CH,2018,9.4,38.2,52.4,22.0,34.6,4.3,84.0,524.51,9.0
Amsterdam,NL002C1,NL32,NL,2019,17.9,33.7,48.5,32.0,30.8,3.2,82.2,487.53,7.9
Ankara,TR001C1,TR51,TR,2019,46.2,22.4,31.4,72.0,44.0,14.2,79.8,296.54,40.8
Antwerp,BE002C1,BE2,BE,2019,18.4,40.6,41.0,47.0,37.6,3.2,82.6,271.78,10.2
Athens,EL001C1,EL30,EL,2019,15.0,44.9,40.2,48.0,40.2,16.9,81.7,792.04,17.8
Barcelona,ES002C1,ES51,ES,2019,36.3,21.3,42.4,44.0,37.2,11.0,83.8,327.11,8.3
Valencia,ES003C1,ES51,ES,2019,36.3,21.3,42.4,44.0,37.2,11.0,83.0,372.83,14.9
Belfast,UK012C1,UKN0,UK,2019,23.8,35.6,40.6,29.0,36.9,2.7,75.6,287.0,8.6
Belgrade, -,RS11,RS,2019,7.8,53.8,38.4,72.8,42.1,8.3,77.2,300.58,9.0
Bergen,NO002C1,NO05,NO,2019,15.9,41.2,42.9,23.0,33.7,3.6,83.5,496.19,2.9
Berlin,DE001C1,DE30,DE,2019,12.3,44.5,43.1,12.0,35.4,5.3,81.5,550.23,6.9
Birmingham,UK002C1,UKG3,UK,2019,26.6,38.1,35.3,20.0,35.9,6.0,80.9,287.0,12.5
Bologna,IT009C1,ITH5,IT,2019,31.0,46.2,22.8,71.0,37.7,5.6,84.2,415.87,13.8
Brasov,RO504C1,RO12,RO,2019,20.9,60.8,18.3,95.0,40.3,5.3,75.7,323.74,20.4
Bratislava,SK001C1,SK01,SK,2019,4.0,50.5,45.5,32.0,41.2,2.4,78.9,651.8,11.0
Bristol,UK011C1,UKK1,UK,2019,17.8,36.5,45.7,33.0,36.0,2.7,82.4,287.0,8.8
Brno,CZ002C1,CZ06,CZ,2019,5.0,69.0,26.0,61.0,40.3,1.9,78.2,414.15,16.5
Brussels,BE001C1,BE1,BE,2019,27.6,25.2,47.1,17.0,36.9,12.6,81.8,393.43,11.4
Bucharest,RO001C1,RO32,RO,2019,10.5,49.3,40.3,48.0,40.2,2.5,77.1,323.74,12.8
Budapest,HU001C1,HU11,HU,2019,6.9,45.6,47.5,29.0,39.2,2.5,78.6,541.74,14.9
Bursa,TR005C1,TR41,TR,2019,56.5,22.5,21.0,73.0,45.3,11.2,78.7,163.86,39.0
Cambridge,UK017C1,UKH1,UK,2019,20.1,40.8,39.1,30.0,36.3,2.9,82.2,287.0,9.6
Cluj-Napoca,RO002C1,RO11,RO,2019,20.0,61.1,18.9,96.0,40.0,3.0,75.7,413.02,17.6
Cologne,DE004C1,DEA2,DE,2019,16.6,52.5,30.9,30.0,34.7,3.4,81.2,448.09,8.0
Constanta,RO501C1,RO22,RO,2019,25.6,60.6,13.8,111.0,40.2,6.4,74.4,253.54,16.2
Copenhagen,DK001C1,DK01,DK,2019,14.1,33.7,52.3,14.0,33.0,5.1,81.2,501.43,5.6
Cork,IE002C1,IE05,IE,2019,17.4,39.4,43.2,33.0,36.4,5.5,81.8,330.13,12.5
Dublin,IE001C1,IE06,IE,2019,14.8,33.6,51.5,22.0,36.6,4.7,82.8,330.13,12.3
Dusseldorf,DE011C1,DEA1,DE,2019,18.4,55.1,26.5,22.0,34.9,3.8,80.1,448.09,10.9
Edinburgh,UK007C1,UKM7,UK,2019,17.2,29.8,53.0,10.0,36.5,3.4,80.0,287.0,7.0
Eindhoven,NL005C1,NL41,NL,2019,20.9,40.9,38.1,59.0,30.8,3.2,82.1,263.14,9.9
Frankfurt,DE005C1,DE71,DE,2019,16.0,49.2,34.8,35.0,35.2,3.1,81.9,420.96,9.8
Gdansk,PL006C1,PL63,PL,2019,6.8,59.2,34.0,64.0,40.7,2.8,78.0,238.46,18.8
Geneva,CH002C1,CH01,CH,2019,14.7,41.7,43.7,25.0,35.3,7.5,84.5,499.88,8.3
Gent,BE003C1,BE23,BE,2019,17.7,40.8,41.5,47.0,37.5,2.9,82.4,295.78,7.0
Glasgow,UK004C1,UKM3,UK,2019,19.5,30.1,50.4,16.7,36.3,3.5,78.9,287.0,7.0
Gothenburg,SE002C1,SE23,SE,2019,13.3,44.4,42.3,32.0,36.3,6.1,82.5,435.13,5.9
Hamburg,DE002C1,DE60,DE,2019,15.9,47.0,37.1,16.0,35.5,3.6,81.1,636.06,6.2
Iasi,RO502C1,RO21,RO,2019,29.3,59.1,11.7,99.0,39.8,2.1,73.8,253.54,16.2
Istanbul,TR012C1,TR10,TR,2019,55.6,19.7,24.7,29.0,46.7,14.8,79.9,233.5,40.6
Izmir,TR013C1,TR31,TR,2019,55.6,19.5,25.0,75.0,44.6,15.9,79.6,257.43,36.0
Kaunas,LT002C1,LT02,LT,2019,5.9,56.5,37.6,57.0,38.8,7.2,76.3,601.79,1.7
Krakow (Cracow),PL003C1,PL2,PL,2019,5.4,62.6,32.1,56.0,40.0,2.6,79.1,248.79,16.4
Leeds,UK003C1,UKE4,UK,2019,24.6,37.3,38.1,30.0,36.1,4.7,79.8,287.0,12.5
Limassol,CY501C1,CY00,CY,2019,17.5,37.7,44.7,57.0,39.3,7.1,83.6,427.8,11.6
Lisbon,PT001C1,PT17,PT,2019,35.5,29.3,35.2,47.0,39.9,7.2,81.4,654.96,5.5
Ljubljana,SI001C1,SI04,SI,2019,9.7,51.6,38.7,34.0,39.5,4.0,81.8,329.55,6.9
London,UK001K2,UKI,UK,2019,13.6,26.8,59.6,13.0,38.0,4.3,82.9,287.0,12.76
Luxembourg,LU001C1,LU00,LU,2019,20.7,32.3,47.0,60.0,37.9,5.6,82.5,318.57,9.1
Lyon,FR003C2,FRK2,FR,2019,17.1,41.1,41.8,55.0,37.5,7.0,84.1,314.48,7.6
Madrid,ES001C1,ES30,ES,2019,25.9,25.0,49.1,17.0,37.7,10.6,85.9,467.54,8.9
Manchester,UK008C1,UKD3,UK,2019,20.5,38.3,41.2,16.0,36.8,5.1,80.3,287.0,10.6
Milan,IT002C1,ITC4,IT,2019,35.5,43.4,21.1,48.0,37.6,5.6,84.2,366.94,17.3
Munich,DE003L1,DE21,DE,2019,10.0,49.5,40.5,44.0,35.8,1.9,82.9,455.17,8.0
Nicosia,CY001C1,CY0,CY,2019,17.5,37.7,44.7,57.0,39.3,7.1,83.6,427.8,11.6
Oslo,NO001C1,NO01,NO,2019,14.5,31.6,53.8,9.0,34.4,3.9,83.6,577.29,5.0
Paris,FR001C1,FR10,FR,2019,18.3,30.5,51.2,25.0,38.2,8.1,84.8,385.76,7.1
Porto,PT002C1,PT11,PT,2019,53.4,23.5,23.1,54.0,39.6,6.7,82.0,532.63,8.3
Poznan,PL005C1,PL41,PL,2019,7.0,64.6,28.4,75.0,41.0,2.6,77.3,167.85,17.7
Prague,CZ001C1,CZ01,CZ,2019,2.8,51.7,45.5,28.0,40.0,1.3,80.8,739.11,15.4
Reykjavik,IS001C1,IS00,IS,2019,21.4,33.5,45.2,0.0,39.2,3.5,83.2,391.22,5.6
Riga,LV001C1,LV00,LV,2019,8.8,55.4,35.7,77.0,38.6,6.3,75.3,349.86,3.8
Rome,IT001C1,ITI4,IT,2019,29.7,44.2,26.1,57.0,36.7,9.9,84.5,456.12,16.9
Rotterdam,NL003C1,NL33,NL,2019,21.0,38.2,40.8,27.0,30.7,4.1,81.8,373.33,10.3
The Hague (Den Haag),NL001C1,NL33,NL,2019,21.0,38.2,40.8,27.0,30.7,4.1,81.8,373.33,10.3
Seville (Sevilla),ES004C1,ES61,ES,2019,47.8,21.0,31.2,33.0,37.3,21.2,82.1,366.65,16.1
Sofia,BG001C1,BG41,BG,2019,8.2,51.2,40.5,59.0,40.3,2.3,74.6,435.33,5.2
Stockholm,SE001C1,SE11,SE,2019,12.2,34.8,53.0,13.0,36.6,6.1,82.9,480.8,3.2
Stuttgart,DE007C1,DE11,DE,2019,14.3,51.4,34.3,38.0,34.8,2.4,82.3,411.62,9.5
Tallinn,EE001C1,EE00,EE,2019,9.8,48.7,41.4,51.0,38.1,4.4,78.6,349.86,7.7
Thessaloniki,EL002C1,EL52,EL,2019,22.2,46.4,31.4,49.0,41.3,19.6,83.4,520.28,21.6
Timisoara,RO003C1,RO42,RO,2019,16.0,67.7,16.3,114.0,40.1,3.4,75.2,413.02,17.6
Trieste,IT015C1,ITH4,IT,2019,29.9,49.4,20.7,63.0,37.4,6.1,83.5,402.55,17.2
Trondheim,NO003C1,NO06,NO,2019,15.7,40.3,44.0,22.0,33.8,3.8,83.4,513.6,6.6
Turin,IT004C1,ITC1,IT,2019,36.5,44.2,19.3,57.0,37.3,7.7,84.3,368.35,14.7
Varna,BG003C1,BG33,BG,2019,24.0,52.8,23.2,108.0,40.4,5.9,74.6,386.48,15.5
Vienna,AT001C1,AT13,AT,2019,16.9,40.2,42.9,10.0,36.5,9.3,80.4,674.15,8.0
Vilnius,LT001C1,LT01,LT,2019,3.1,41.0,55.9,72.0,38.8,4.4,76.2,463.93,1.0
Warsaw,PL001C1,PL91,PL,2019,3.2,41.3,55.5,50.0,39.8,2.1,76.7,230.09,10.5
Wroclaw,PL004C1,PL51,PL,2019,7.3,58.3,34.4,71.0,40.2,3.3,77.0,198.98,12.6
Zagreb,HR001C1,HR04,HR,2019,16.2,59.6,24.3,70.0,39.8,6.7,79.9,330.61,11.1
Zurich,CH001C1,CH04,CH,2019,8.9,36.8,54.3,22.0,34.8,4.0,84.2,526.48,8.3
