City, City Code, NUTS 2, Country,Year,Education Attainment ED 0-2,Education Attainment ED 3-4,Education Attainment ED 5-8,Deaths_in_road_accidents,Average Working Hours,Unemployment_Rate,E_Life_expextancy_at_birth,E_Med_Doctors_per_100000,Gender_Employment_Gap
Eindhoven,NL005C1,NL41,NL,2013,25.9,41.8,32.2,33.0,30.0,6.7,81.5,229.97,10.9
Frankfurt,DE005C1,DE71,DE,2013,14.7,52.8,32.5,26.0,35.6,4.3,81.2,386.74,10.6
Gdansk,PL006C1,PL63,PL,2013,11.3,62.0,26.7,77.0,41.2,10.1,77.9,200.03,16.0
Geneva,CH002C1,CH01,CH,2013,17.4,44.7,37.8,41.0,35.7,7.4,83.2,470.8,11.1
Gent,BE003C1,BE23,BE,2013,24.7,38.0,37.3,53.0,38.0,4.0,81.1,269.12,9.8
Glasgow,UK004C1,UKM3,UK,2013,20.4,35.7,43.9,6.7,36.5,7.2,80.7,271.29,8.0
Gothenburg,SE002C1,SE23,SE,2013,17.5,46.0,36.5,27.0,36.2,8.0,82.1,404.54,5.0
Hamburg,DE002C1,DE60,DE,2013,15.8,52.7,31.6,15.0,36.0,4.7,80.7,597.54,7.1
Iasi,RO502C1,RO21,RO,2013,28.9,59.2,11.9,96.0,40.2,4.4,74.6,209.24,10.1
Istanbul,TR012C1,TR10,TR,2013,61.0,20.2,18.8,19.0,49.9,10.6,78.8,186.28,45.9
Izmir,TR013C1,TR31,TR,2013,62.4,18.8,18.9,33.0,46.8,14.3,79.0,241.59,39.4
Kaunas,LT002C1,LT02,LT,2013,7.6,61.3,31.0,99.0,37.9,12.6,74.3,552.59,3.8
Krakow (Cracow),PL003C1,PL2,PL,2013,7.1,67.6,25.3,62.0,40.0,10.2,78.5,234.36,15.1
Leeds,UK003C1,UKE4,UK,2013,24.4,41.2,34.4,24.0,36.2,9.4,80.1,271.29,10.3
Limassol,CY501C1,CY00,CY,2013,21.5,39.3,39.3,47.0,39.8,15.9,82.5,319.51,10.4
Lisbon,PT001C1,PT17,PT,2013,47.8,25.2,27.0,37.0,40.3,18.6,81.3,573.2,3.0
Ljubljana,SI001C1,SI04,SI,2013,11.1,56.0,32.9,55.0,39.3,8.7,80.5,302.13,8.8
London,UK001K2,UKI,UK,2013,16.7,29.0,54.2,16.0,37.7,8.7,82.4,271.29,14.56
Luxembourg,LU001C1,LU00,LU,2013,19.5,39.8,40.7,84.0,37.2,5.9,81.9,283.05,14.1
Lyon,FR003C2,FRK2,FR,2013,21.8,43.8,34.4,49.0,37.5,8.4,83.2,306.53,8.8
Madrid,ES001C1,ES30,ES,2013,29.5,24.5,46.0,20.0,38.7,19.8,84.8,440.07,8.5
Manchester,UK008C1,UKD3,UK,2013,25.5,38.4,36.1,13.0,36.2,9.4,79.7,271.29,9.1
Milan,IT002C1,ITC4,IT,2013,38.8,44.0,17.2,43.0,37.3,8.0,83.5,360.2,16.0
Munich,DE003L1,DE21,DE,2013,10.1,52.9,37.0,47.0,36.3,2.5,82.1,421.91,10.2
Nicosia,CY001C1,CY0,CY,2013,21.5,39.3,39.3,47.0,39.8,15.9,82.5,319.51,10.4
Oslo,NO001C1,NO01,NO,2013,14.5,34.5,51.0,14.0,34.2,3.9,82.3,509.17,5.3
Paris,FR001C1,FR10,FR,2013,24.5,33.6,41.9,24.0,37.9,9.0,83.9,394.98,7.7
Porto,PT002C1,PT11,PT,2013,66.6,16.8,16.5,53.0,39.5,17.4,81.3,408.16,9.0
Poznan,PL005C1,PL41,PL,2013,8.8,67.8,23.4,84.0,41.7,8.8,77.2,147.05,20.7
Prague,CZ001C1,CZ01,CZ,2013,3.1,58.5,38.4,29.0,40.8,3.1,80.1,694.78,17.0
Reykjavik,IS001C1,IS00,IS,2013,27.8,36.2,36.1,10.0,39.5,5.4,82.1,360.76,6.5
Riga,LV001C1,LV00,LV,2013,10.6,58.3,31.0,88.0,38.8,11.9,74.3,333.46,4.2
Rome,IT001C1,ITI4,IT,2013,31.7,47.3,21.0,66.0,36.4,12.0,83.2,465.57,18.7
Rotterdam,NL003C1,NL33,NL,2013,24.6,40.6,34.8,24.0,30.7,8.0,81.6,325.56,11.8
The Hague (Den Haag),NL001C1,NL33,NL,2013,24.6,40.6,34.8,24.0,30.7,8.0,81.6,325.56,11.8
Seville (Sevilla),ES004C1,ES61,ES,2013,52.9,19.7,27.3,34.0,37.7,36.2,81.8,260.35,11.3
Sofia,BG001C1,BG41,BG,2013,8.6,56.2,35.1,61.0,40.2,9.8,74.3,416.43,5.0
Stockholm,SE001C1,SE11,SE,2013,14.7,39.6,45.7,10.0,36.3,6.9,82.8,464.1,5.0
Stuttgart,DE007C1,DE11,DE,2013,14.2,53.2,32.5,41.0,35.0,3.7,82.0,404.95,11.1
Tallinn,EE001C1,EE00,EE,2013,9.4,53.2,37.4,61.0,38.8,8.6,77.5,333.46,6.6
Thessaloniki,EL002C1,EL52,EL,2013,34.5,38.4,27.1,69.0,42.4,30.2,81.8,483.75,22.8
Timisoara,RO003C1,RO42,RO,2013,22.6,63.2,14.2,99.0,40.3,5.2,74.8,345.97,14.6
Trieste,IT015C1,ITH4,IT,2013,36.6,46.1,17.3,68.0,37.0,7.7,82.6,386.34,16.7
Trondheim,NO003C1,NO06,NO,2013,16.0,46.0,37.9,41.0,33.5,2.6,82.1,440.12,4.7
Turin,IT004C1,ITC1,IT,2013,40.7,43.3,15.9,59.0,37.3,10.6,82.7,352.72,14.3
Varna,BG003C1,BG33,BG,2013,23.7,51.0,25.2,86.0,40.9,16.8,74.3,375.0,8.2
Vienna,AT001C1,AT13,AT,2013,17.8,51.6,30.6,10.0,37.0,9.3,80.1,685.29,6.2
Vilnius,LT001C1,LT01,LT,2013,3.8,50.4,45.8,68.0,38.7,9.7,74.1,427.7,0.1
Warsaw,PL001C1,PL91,PL,2013,4.4,47.6,48.0,61.0,40.3,6.0,76.3,224.09,10.7
Wroclaw,PL004C1,PL51,PL,2013,9.6,65.3,25.1,78.0,40.6,11.3,76.9,217.35,13.9
Zagreb,HR001C1,HR04,HR,2013,21.4,59.4,19.2,84.0,39.6,18.4,79.3,285.74,9.2
Zurich,CH001C1,CH04,CH,2013,11.3,43.6,45.1,24.0,35.0,4.4,83.0,486.92,9.7
Amsterdam,NL002C1,NL32,NL,2014,21.2,38.0,40.8,26.0,30.4,6.9,81.8,459.83,11.7
Ankara,TR001C1,TR51,TR,2014,50.4,22.7,26.8,30.0,47.0,11.5,79.4,316.11,44.5
Antwerp,BE002C1,BE2,BE,2014,23.9,38.9,37.2,63.0,37.4,5.1,82.2,248.37,10.6
Athens,EL001C1,EL30,EL,2014,20.0,43.6,36.3,47.0,40.3,27.4,81.1,753.88,15.5
Barcelona,ES002C1,ES51,ES,2014,42.6,20.4,37.0,37.0,37.6,20.3,83.6,399.62,6.9
Valencia,ES003C1,ES51,ES,2014,42.6,20.4,37.0,37.0,37.6,20.3,82.8,389.95,11.3
Belfast,UK012C1,UKN0,UK,2014,27.9,38.1,34.0,43.0,36.7,6.4,80.8,274.53,9.2
Belgrade, -,RS11,RS,2014,10.5,56.2,33.3,56.0,41.9,17.2,76.2,307.13,9.2
Bergen,NO002C1,NO05,NO,2014,15.8,41.9,42.3,22.0,34.1,3.0,82.8,432.89,6.2
Berlin,DE001C1,DE30,DE,2014,14.7,49.2,36.1,15.0,35.7,9.8,80.9,492.04,4.8
Birmingham,UK002C1,UKG3,UK,2014,30.7,38.4,30.9,20.0,36.4,9.7,81.0,274.53,12.8
Bologna,IT009C1,ITH5,IT,2014,35.4,45.8,18.7,74.0,37.4,8.4,83.7,410.89,15.6
Brasov,RO504C1,RO12,RO,2014,26.7,58.7,14.6,93.0,40.6,9.2,75.5,277.63,17.8
Bratislava,SK001C1,SK01,SK,2014,4.6,56.4,39.0,50.0,41.5,6.0,78.7,678.22,14.0
Bristol,UK011C1,UKK1,UK,2014,18.8,36.5,44.7,34.0,36.3,4.8,82.5,274.53,10.9
Brno,CZ002C1,CZ06,CZ,2014,5.9,70.8,23.3,70.0,40.6,6.0,77.6,342.87,17.2
Brussels,BE001C1,BE1,BE,2014,32.0,24.4,43.5,24.0,37.2,18.3,81.1,375.33,10.1
Bucharest,RO001C1,RO32,RO,2014,14.5,50.4,35.0,57.0,40.5,7.2,76.7,277.63,15.1
Budapest,HU001C1,HU11,HU,2014,8.3,49.1,42.5,29.0,40.3,6.0,78.3,527.71,14.1
Bursa,TR005C1,TR41,TR,2014,64.2,20.2,15.6,40.0,48.2,6.2,77.6,165.65,45.7
Cambridge,UK017C1,UKH1,UK,2014,21.3,41.7,37.0,41.0,36.5,5.0,82.3,274.53,10.5
