,City, City Code, NUTS 2, Country,Year,Education Attainment ED 0-2,Education Attainment ED 3-4,Education Attainment ED 5-8
123,Leeds,UK003C1,UKE4,UK,2013,24.4,41.2,34.4
124,Limassol,CY501C1,CY00,CY,2013,21.5,39.3,39.3
125,Lisbon,PT001C1,PT17,PT,2013,47.8,25.2,27.0
126,Ljubljana,SI001C1,SI04,SI,2013,11.1,56.0,32.9
127,London,UK001K2,UKI,UK,2013,16.7,29.0,54.2
128,Luxembourg,LU001C1,LU00,LU,2013,19.5,39.8,40.7
129,Lyon,FR003C2,FRK2,FR,2013,21.8,43.8,34.4
130,Madrid,ES001C1,ES30,ES,2013,29.5,24.5,46.0
131,Manchester,UK008C1,UKD3,UK,2013,25.5,38.4,36.1
132,Milan,IT002C1,ITC4,IT,2013,38.8,44.0,17.2
133,Munich,DE003L1,DE21,DE,2013,10.1,52.9,37.0
134,Nicosia,CY001C1,CY0,CY,2013,21.5,39.3,39.3
135,Oslo,NO001C1,NO01,NO,2013,14.5,34.5,51.0
136,Paris,FR001C1,FR10,FR,2013,24.5,33.6,41.9
137,Porto,PT002C1,PT11,PT,2013,66.6,16.8,16.5
138,Poznan,PL005C1,PL41,PL,2013,8.8,67.8,23.4
139,Prague,CZ001C1,CZ01,CZ,2013,3.1,58.5,38.4
140,Reykjavik,IS001C1,IS00,IS,2013,27.8,36.2,36.1
141,Riga,LV001C1,LV00,LV,2013,10.6,58.3,31.0
142,Rome,IT001C1,ITI4,IT,2013,31.7,47.3,21.0
143,Rotterdam,NL003C1,NL33,NL,2013,24.6,40.6,34.8
144,The Hague (Den Haag),NL001C1,NL33,NL,2013,24.6,40.6,34.8
145,Seville (Sevilla),ES004C1,ES61,ES,2013,52.9,19.7,27.3
146,Sofia,BG001C1,BG41,BG,2013,8.6,56.2,35.1
147,Stockholm,SE001C1,SE11,SE,2013,14.7,39.6,45.7
148,Stuttgart,DE007C1,DE11,DE,2013,14.2,53.2,32.5
149,Tallinn,EE001C1,EE00,EE,2013,9.4,53.2,37.4
150,Thessaloniki,EL002C1,EL52,EL,2013,34.5,38.4,27.1
151,Timisoara,RO003C1,RO42,RO,2013,22.6,63.2,14.2
152,Trieste,IT015C1,ITH4,IT,2013,36.6,46.1,17.3
153,Trondheim,NO003C1,NO06,NO,2013,16.0,46.0,37.9
154,Turin,IT004C1,ITC1,IT,2013,40.7,43.3,15.9
