,City, City Code, NUTS 2, Country,Year,Unemployment_Rate
161,Zurich,CH001C1,CH04,CH,2013,4.4
162,Amsterdam,NL002C1,NL32,NL,2014,6.9
163,Ankara,TR001C1,TR51,TR,2014,11.5
164,Antwerp,BE002C1,BE2,BE,2014,5.1
165,Athens,EL001C1,EL30,EL,2014,27.4
166,Barcelona,ES002C1,ES51,ES,2014,20.3
167,Valencia,ES003C1,ES51,ES,2014,20.3
168,Belfast,UK012C1,UKN0,UK,2014,6.4
169,Belgrade, -,RS11,RS,2014,17.2
170,Bergen,NO002C1,NO05,NO,2014,3.0
171,Berlin,DE001C1,DE30,DE,2014,9.8
172,Birmingham,UK002C1,UKG3,UK,2014,9.7
173,Bologna,IT009C1,ITH5,IT,2014,8.4
174,Brasov,RO504C1,RO12,RO,2014,9.2
175,Bratislava,SK001C1,SK01,SK,2014,6.0
176,Bristol,UK011C1,UKK1,UK,2014,4.8
177,Brno,CZ002C1,CZ06,CZ,2014,6.0
178,Brussels,BE001C1,BE1,BE,2014,18.3
179,Bucharest,RO001C1,RO32,RO,2014,7.2
180,Budapest,HU001C1,HU11,HU,2014,6.0
181,Bursa,TR005C1,TR41,TR,2014,6.2
182,Cambridge,UK017C1,UKH1,UK,2014,5.0
183,Cluj-Napoca,RO002C1,RO11,RO,2014,3.8
184,Cologne,DE004C1,DEA2,DE,2014,5.3
185,Constanta,RO501C1,RO22,RO,2014,10.4
186,Copenhagen,DK001C1,DK01,DK,2014,7.5
187,Cork,IE002C1,IE05,IE,2014,12.7
188,Dublin,IE001C1,IE06,IE,2014,11.5
189,Dusseldorf,DE011C1,DEA1,DE,2014,6.4
190,Edinburgh,UK007C1,UKM7,UK,2014,5.8
191,Eindhoven,NL005C1,NL41,NL,2014,7.0
192,Frankfurt,DE005C1,DE71,DE,2014,4.5
193,Gdansk,PL006C1,PL63,PL,2014,8.6
194,Geneva,CH002C1,CH01,CH,2014,7.5
195,Gent,BE003C1,BE23,BE,2014,4.3
196,Glasgow,UK004C1,UKM3,UK,2014,5.9
197,Gothenburg,SE002C1,SE23,SE,2014,7.6
198,Hamburg,DE002C1,DE60,DE,2014,5.0
199,Iasi,RO502C1,RO21,RO,2014,4.2
200,Istanbul,TR012C1,TR10,TR,2014,11.9
201,Izmir,TR013C1,TR31,TR,2014,13.8
202,Kaunas,LT002C1,LT02,LT,2014,11.6
203,Krakow (Cracow),PL003C1,PL2,PL,2014,8.8
204,Leeds,UK003C1,UKE4,UK,2014,6.8
205,Limassol,CY501C1,CY00,CY,2014,16.1
206,Lisbon,PT001C1,PT17,PT,2014,15.0
207,Ljubljana,SI001C1,SI04,SI,2014,8.2
208,London,UK001K2,UKI,UK,2014,6.9
209,Luxembourg,LU001C1,LU00,LU,2014,5.9
210,Lyon,FR003C2,FRK2,FR,2014,8.8
211,Madrid,ES001C1,ES30,ES,2014,18.8
212,Manchester,UK008C1,UKD3,UK,2014,8.0
213,Milan,IT002C1,ITC4,IT,2014,8.2
214,Munich,DE003L1,DE21,DE,2014,2.5
215,Nicosia,CY001C1,CY0,CY,2014,16.1
216,Oslo,NO001C1,NO01,NO,2014,3.8
217,Paris,FR001C1,FR10,FR,2014,9.7
218,Porto,PT002C1,PT11,PT,2014,15.0
219,Poznan,PL005C1,PL41,PL,2014,7.7
220,Prague,CZ001C1,CZ01,CZ,2014,2.5
221,Reykjavik,IS001C1,IS00,IS,2014,4.9
222,Riga,LV001C1,LV00,LV,2014,10.8
223,Rome,IT001C1,ITI4,IT,2014,12.5
224,Rotterdam,NL003C1,NL33,NL,2014,8.4
225,The Hague (Den Haag),NL001C1,NL33,NL,2014,8.4
226,Seville (Sevilla),ES004C1,ES61,ES,2014,34.8
227,Sofia,BG001C1,BG41,BG,2014,8.9
228,Stockholm,SE001C1,SE11,SE,2014,7.1
229,Stuttgart,DE007C1,DE11,DE,2014,3.1
230,Tallinn,EE001C1,EE00,EE,2014,7.4
231,Thessaloniki,EL002C1,EL52,EL,2014,28.7
232,Timisoara,RO003C1,RO42,RO,2014,4.8
233,Trieste,IT015C1,ITH4,IT,2014,8.0
234,Trondheim,NO003C1,NO06,NO,2014,3.8
235,Turin,IT004C1,ITC1,IT,2014,11.3
236,Varna,BG003C1,BG33,BG,2014,12.7
237,Vienna,AT001C1,AT13,AT,2014,10.2
238,Vilnius,LT001C1,LT01,LT,2014,8.5
239,Warsaw,PL001C1,PL91,PL,2014,5.8
240,Wroclaw,PL004C1,PL51,PL,2014,9.1
241,Zagreb,HR001C1,HR04,HR,2014,17.4
242,Zurich,CH001C1,CH04,CH,2014,4.1
243,Amsterdam,NL002C1,NL32,NL,2015,6.2
244,Ankara,TR001C1,TR51,TR,2015,11.1
245,Antwerp,BE002C1,BE2,BE,2015,5.2
246,Athens,EL001C1,EL30,EL,2015,25.2
247,Barcelona,ES002C1,ES51,ES,2015,18.6
