,City, City Code, NUTS 2, Country,Year,Unemployment_Rate
224,Varna,BG003C1,BG33,BG,2014,105.0
225,Vienna,AT001C1,AT13,AT,2014,12.0
226,Vilnius,LT001C1,LT01,LT,2014,68.0
227,Warsaw,PL001C1,PL91,PL,2014,
228,Wroclaw,PL004C1,PL51,PL,2014,84.0
229,Zagreb,HR001C1,HR04,HR,2014,64.0
230,Zurich,CH001C1,CH04,CH,2014,21.0
231,Amsterdam,NL002C1,NL32,NL,2015,28.0
232,Ankara,TR001C1,TR51,TR,2015,75.0
233,Antwerp,BE002C1,BE2,BE,2015,61.0
234,Athens,EL001C1,EL30,EL,2015,54.0
235,Barcelona,ES002C1,ES51,ES,2015,39.0
236,Valencia,ES003C1,ES51,ES,2015,39.0
237,Belfast,UK012C1,UKN0,UK,2015,40.0
238,Bergen,NO002C1,NO05,NO,2015,16.0
239,Berlin,DE001C1,DE30,DE,2015,14.0
240,Birmingham,UK002C1,UKG3,UK,2015,20.0
241,Bologna,IT009C1,ITH5,IT,2015,73.0
242,Brasov,RO504C1,RO12,RO,2015,92.0
243,Bratislava,SK001C1,SK01,SK,2015,48.0
244,Bristol,UK011C1,UKK1,UK,2015,36.0
245,Brno,CZ002C1,CZ06,CZ,2015,78.0
246,Brussels,BE001C1,BE1,BE,2015,24.0
247,Bucharest,RO001C1,RO32,RO,2015,55.0
248,Budapest,HU001C1,HU11,HU,2015,30.0
249,Bursa,TR005C1,TR41,TR,2015,85.0
250,Cambridge,UK017C1,UKH1,UK,2015,41.0
251,Cluj-Napoca,RO002C1,RO11,RO,2015,99.0
252,Cologne,DE004C1,DEA2,DE,2015,28.0
253,Constanta,RO501C1,RO22,RO,2015,107.0
254,Copenhagen,DK001C1,DK01,DK,2015,20.0
255,Cork,IE002C1,IE05,IE,2015,42.0
256,Dublin,IE001C1,IE06,IE,2015,20.0
257,Dusseldorf,DE011C1,DEA1,DE,2015,26.0
258,Eindhoven,NL005C1,NL41,NL,2015,47.0
259,Frankfurt,DE005C1,DE71,DE,2015,32.0
